ELEMENTO;α;λ;μ;λ²;μ²;λ,μ;A[m²];L[m];E[kgf/mm²];EA/L
a;0,0;1,0;0,0;1,0;0,0;0,0;0,0020268299163899908;7071,067811865475;21006,153926;0,006021141691508904
b;126,86989764584402;-0,5999999999999999;0,8000000000000002;0,3599999999999998;0,6400000000000002;-0,48;0,0020268299163899908;2121,3203435596424;21006,153926;0,02007047230502968
c;180,0;-1,0;0,0;1,0;0,0;-0,0;0,0020268299163899908;2828,42712474619;21006,153926;0,015052854228772259
d;233,13010235415598;-0,5999999999999999;-0,8000000000000002;0,3599999999999998;0,6400000000000002;0,48;0,0020268299163899908;2121,3203435596424;21006,153926;0,02007047230502968
e;29,74488129694222;0,8682431421244592;0,49613893835683376;0,7538461538461538;0,24615384615384608;0,4307692307692307;0,0020268299163899908;4949,747468305833;21006,153926;0,008601630987869863
f;330,2551187030578;0,8682431421244592;-0,49613893835683376;0,7538461538461538;0,24615384615384608;-0,4307692307692307;0,0020268299163899908;4949,747468305833;21006,153926;0,008601630987869863

ELEMENTO;α;λ;μ;λ²;μ²;λ,μ;A[m²];L[m];E[kgf/mm²];EA/L
a;0,0;1,0;0,0;1,0;0,0;0,0;0,0020268299163899908;5000,0;21006,153926;0,00851518024110197
b;126,86989764584402;-0,5999999999999999;0,8000000000000002;0,3599999999999998;0,6400000000000002;-0,48;0,0020268299163899908;2500,0;21006,153926;0,01703036048220394
c;180,0;-1,0;0,0;1,0;0,0;-0,0;0,0020268299163899908;2000,0;21006,153926;0,021287950602754926
d;233,13010235415598;-0,5999999999999999;-0,8000000000000002;0,3599999999999998;0,6400000000000002;0,48;0,0020268299163899908;2500,0;21006,153926;0,01703036048220394
e;29,74488129694222;0,8682431421244592;0,49613893835683376;0,7538461538461538;0,24615384615384608;0,4307692307692307;0,0020268299163899908;4031,128874149275;21006,153926;0,010561781211843549
f;330,2551187030578;0,8682431421244592;-0,49613893835683376;0,7538461538461538;0,24615384615384608;-0,4307692307692307;0,0020268299163899908;4031,128874149275;21006,153926;0,010561781211843549
